date,portfolio_value,cash_ratio,target_gross,actual_gross,target_gold,target_nasdaq,target_sp500,target_csi300,target_shanghai,price_gold,price_nasdaq,price_sp500,price_csi300,price_shanghai
2002-02-04,100000.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,76.9824020000,15358.1863479477,9058.6589635565,1236.9690000000,1511.3270000000
2002-02-05,100003.9285714286,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.3497250000,15217.3949030352,9022.0747080295,1246.8420000000,1518.2800000000
2002-02-06,100007.8572971939,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.1653690000,15003.7660263042,8968.1915624457,1216.7880000000,1485.8020000000
2002-02-07,100011.7861773020,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.7498320000,14750.4904111176,8940.5464462783,1241.0230000000,1515.3940000000
2002-02-08,100015.7152117589,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,80.7619860000,15054.8349983860,9073.3919895379,1235.0920000000,1506.6150000000
2002-02-11,100019.6444005708,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.8582010000,15284.7695274672,9203.5061291043,1235.0920000000,1506.6150000000
2002-02-12,100023.5737437437,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,80.0178690000,15181.7211154059,9166.7563339596,1235.0920000000,1506.6150000000
2002-02-13,100027.5032412836,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.6719240000,15388.1044215266,9257.8092668311,1235.0920000000,1506.6150000000
2002-02-14,100031.4328931967,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.7517620000,15257.5382603442,9241.0836223379,1235.0920000000,1506.6150000000
2002-02-15,100035.3626994889,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.4058250000,14941.6058998320,9139.2767574100,1235.0920000000,1506.6150000000
2002-02-19,100039.2926601664,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.0239640000,14489.7655131314,8966.7844756946,1235.0920000000,1506.6150000000
2002-02-20,100043.2227752352,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.7825790000,14696.3589561072,9087.9594759016,1235.0920000000,1506.6150000000
2002-02-21,100047.1530447014,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.0201880000,14205.2856799954,8947.0024913712,1235.0920000000,1506.6150000000
2002-02-22,100051.0834685710,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.0201880000,14273.9846213695,9020.5848514696,1235.0920000000,1506.6150000000
2002-02-25,100053.9420709558,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.8862000000,14649.5054422050,9182.8829201672,1254.6110000000,1530.2840000000
2002-02-26,100056.8007550150,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.2984170000,14624.2664525688,9182.3170580299,1253.1210000000,1531.4300000000
2002-02-27,100059.6595207508,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.8450920000,14500.2772788598,9186.5383182830,1255.9970000000,1538.3190000000
2002-02-28,100062.5183681657,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.9505820000,14331.5096385442,9160.3830586755,1244.6030000000,1524.7010000000
2002-03-01,100065.3772972619,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.2974580000,14921.2445268464,9367.7214299312,1227.2290000000,1502.5400000000
2002-03-04,100068.2363080419,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.9515370000,15389.5561055150,9550.3116283304,1245.8670000000,1526.8040000000
2002-03-05,100071.0954005078,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.2321160000,15447.2466623075,9486.5788754894,1275.6140000000,1560.0790000000
2002-03-06,100073.9545746621,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.1000160000,15646.8046715280,9624.2250676643,1288.4440000000,1569.2080000000
2002-03-07,100076.8138305071,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.1999450000,15574.2155491363,9580.9364576177,1328.3880000000,1613.0010000000
2002-03-08,100079.6731680451,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.1999450000,15971.8417110175,9636.9716182325,1351.8540000000,1640.2560000000
2002-03-11,100082.5325872785,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.4641970000,15970.3518544576,9669.6656927419,1377.0370000000,1664.0940000000
2002-03-12,100085.3920882096,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.1275700000,15702.4259830984,9647.4833839609,1362.4040000000,1643.6920000000
2002-03-13,100088.2516708406,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,78.1275700000,15411.9867237227,9552.3808735526,1343.1380000000,1623.4320000000
2002-03-14,100091.1113351741,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.4394430000,15346.6813445128,9543.6900436197,1376.3290000000,1665.1510000000
2002-03-15,100093.9710812122,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.1504480000,15463.8833938932,9652.2840328762,1338.7020000000,1620.9760000000
2002-03-18,100096.8309089574,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.7340520000,15536.3897464761,9647.2350745342,1341.9070000000,1623.8840000000
2002-03-19,100099.6908184120,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.9222180000,15567.9250436611,9686.4679639455,1368.3780000000,1665.3570000000
2002-03-20,100102.5508095782,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.7349920000,15170.5043950405,9533.7615256005,1382.4170000000,1682.5100000000
2002-03-21,100105.4108824585,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,77.9193900000,15468.2701937641,9548.2423831083,1385.7900000000,1685.0170000000
2002-03-22,100108.2710370551,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,79.1150220000,15323.9196470695,9507.7679465638,1369.9010000000,1669.6940000000
